subj,word,assoc_i,sex_port,sex_ger,sex,language,rating
10,23,2,m,f,m,por,0
10,23,3,m,f,m,por,1
10,24,1,f,m,f,por,1
10,24,2,f,m,f,por,3
10,24,3,f,m,f,por,3
11,1,1,f,m,f,por,-5
11,1,2,f,m,f,por,0
11,1,3,f,m,f,por,5
11,2,1,m,f,m,por,-5
11,2,2,m,f,m,por,-1
11,2,3,m,f,m,por,-3
11,3,1,m,f,m,por,0
11,3,2,m,f,m,por,-3
11,3,3,m,f,m,por,-1
11,4,1,m,f,m,por,-5
11,4,2,m,f,m,por,-5
11,4,3,m,f,m,por,3
11,5,1,f,m,f,por,5
11,5,2,f,m,f,por,5
11,5,3,f,m,f,por,1
11,6,1,m,f,m,por,-3
11,6,2,m,f,m,por,-5
11,6,3,m,f,m,por,-5
11,7,1,f,m,f,por,-5
11,7,2,f,m,f,por,5
11,7,3,f,m,f,por,-3
11,8,1,f,m,f,por,5
11,8,2,f,m,f,por,1
11,8,3,f,m,f,por,-3
11,9,1,m,f,m,por,5
11,9,2,m,f,m,por,1
11,9,3,m,f,m,por,1
11,10,1,f,m,f,por,3
11,10,2,f,m,f,por,-3
11,10,3,f,m,f,por,5
11,11,1,f,m,f,por,-5
11,11,2,f,m,f,por,1
11,11,3,f,m,f,por,-3
11,12,1,m,f,m,por,-1
11,12,2,m,f,m,por,1
11,12,3,m,f,m,por,-5
11,13,1,m,f,m,por,-3
11,13,2,m,f,m,por,-3
11,13,3,m,f,m,por,-1
11,14,1,f,m,f,por,3
11,14,2,f,m,f,por,3
11,14,3,f,m,f,por,1
11,15,1,m,f,m,por,-1
11,15,2,m,f,m,por,-5
11,15,3,m,f,m,por,-3
11,16,1,f,m,f,por,-3
11,16,2,f,m,f,por,-5
11,16,3,f,m,f,por,-1
11,17,1,f,m,f,por,-3
11,17,2,f,m,f,por,-1
11,17,3,f,m,f,por,1
11,18,1,f,m,f,por,3
11,18,2,f,m,f,por,3
11,18,3,f,m,f,por,5
11,19,1,f,m,f,por,-5
11,19,2,f,m,f,por,1
11,19,3,f,m,f,por,1
11,20,1,f,m,f,por,5
11,20,2,f,m,f,por,0
11,20,3,f,m,f,por,-1
11,21,1,m,f,m,por,-5
11,21,2,m,f,m,por,0
11,21,3,m,f,m,por,-3
11,22,1,f,m,f,por,1
11,22,2,f,m,f,por,-3
11,22,3,f,m,f,por,-5
11,23,1,m,f,m,por,-5
11,23,2,m,f,m,por,3
11,23,3,m,f,m,por,-3
11,24,1,f,m,f,por,1
11,24,2,f,m,f,por,1
11,24,3,f,m,f,por,-3
12,1,1,f,m,f,por,0
12,1,2,f,m,f,por,5
12,1,3,f,m,f,por,3
12,2,1,m,f,m,por,5
12,2,2,m,f,m,por,1
12,2,3,m,f,m,por,-1
12,3,1,m,f,m,por,-5
12,3,2,m,f,m,por,-3
12,3,3,m,f,m,por,-3
12,4,1,m,f,m,por,-5
12,4,2,m,f,m,por,-1
12,4,3,m,f,m,por,-3
12,5,1,f,m,f,por,5
12,5,2,f,m,f,por,5
12,5,3,f,m,f,por,5
12,6,1,m,f,m,por,-5
12,6,2,m,f,m,por,-3
12,6,3,m,f,m,por,-5
12,7,1,f,m,f,por,-5
12,7,2,f,m,f,por,3
12,7,3,f,m,f,por,5
12,8,1,f,m,f,por,5
12,8,2,f,m,f,por,0
12,8,3,f,m,f,por,1
12,9,1,m,f,m,por,-1
12,9,2,m,f,m,por,5
12,9,3,m,f,m,por,3
12,10,1,f,m,f,por,-5
12,10,2,f,m,f,por,-3
12,10,3,f,m,f,por,3
12,11,1,f,m,f,por,-5
12,11,2,f,m,f,por,-3
12,11,3,f,m,f,por,-5
12,12,1,m,f,m,por,-1
12,12,2,m,f,m,por,-3
12,12,3,m,f,m,por,3
12,13,1,m,f,m,por,-1
12,13,2,m,f,m,por,-1
12,13,3,m,f,m,por,-3
12,14,1,f,m,f,por,-5
12,14,2,f,m,f,por,5
12,14,3,f,m,f,por,-3
12,15,1,m,f,m,por,-3
12,15,2,m,f,m,por,3
